OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,FAA_ID,POC,Floor,Ceiling,County,Shape__Area,Shape__Length
1,DOD,USMC,Marine Corps Air Station New River,MCAS New River 2,CLASS D,NATIONAL SECURITY,NC,20170410-DOD-New River-MCAS New River 2,Command Duty Officer (910) 449-6603,Surface,400' AGL,ONSLOW,0.00280207643550057,0.246706099951729
2,DOD,USN,NAS Key West,Truman Annex,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Key West-Truman Annex,NAS Key West CDO 305 797-4428,Surface,400' AGL,MONROE,3.01734464756009e-05,0.0252293166702416
3,DOD,USN,NAS Key West,Boca Chica,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Key West-Boca Chica,NAS Key West CDO 305 797-4428,Surface,400' AGL,MONROE,0.00116723253870532,0.158020014282561
4,DOD,USN,NAS Key West,Trumbo Point,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Key West-Trumbo Point,NAS Key West CDO 305 797-4428,Surface,400' AGL,MONROE,9.40077210316304e-05,0.0635840865694277
5,DOD,USN,NAS C.C.,NOLF WALDRON,CLASS D,NATIONAL SECURITY,TX,20161222-DOD-Corpus Christi-NOLF WALDRON,NAS CC CDO 361 534-9093,Surface,400' AGL,NUECES,0.000212577158663407,0.058529600721619
6,DOD,USN,NAS C.C.,KNGP,CLASS D/E2,NATIONAL SECURITY,TX,20161222-DOD-Corpus Christi-KNGP,NAS CC CDO 361 534-9093,Surface,400' AGL,NUECES,0.000915746605869572,0.13783022433364
7,DOD,USN,NAS C.C.,NOLF CABANISS,CLASS D,NATIONAL SECURITY,TX,20161222-DOD-Corpus Christi-NOLF CABANISS,NAS CC CDO 361 534-9093,Surface,400' AGL,NUECES,0.000275169129736241,0.0822486571219038
8,DOD,USN,NAS Kingsville,KNOG,CLASS D,NATIONAL SECURITY,TX,20161222-DOD-Kingsville-KNOG,"NAS Kingsville CDO 361-218-7182, LT Scott Powell 361-516-6124",Surface,400' AGL,JIM WELLS,0.000486241221778982,0.163225741205597
9,DOD,USN,NAS C.C.,NOLF GOLIAD,CLASS G,NATIONAL SECURITY,TX,20161222-DOD-Corpus Christi-NOLF GOLIAD,NAS CC CDO 361 534-9093,Surface,400' AGL,GOLIAD,0.000388669031281097,0.145453689944189
10,DOD,USAF,Laughlin AFB,Laughlin AFB Aux 1,CLASS G,NATIONAL SECURITY,TX,20161222-DOD-Laughlin AFB  Aux Field (T70) Spofford-Laughlin AFB Aux 1,"47 OSS/OSA, Laughlin Airfield Operations (830) 298-5052    Emergency: Laughlin AFB Command Post    47 FTW/CP   (830) 298-5167",Surface,400' AGL,KINNEY,0.000147668035879178,0.0605557801779005
